,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
685,Acetophenone,-1.28,-2.0780000000000003,CC(=O)c1ccccc1
686,Reverse Transcriptase inhibitor 1,-2.62,-2.7939999999999996,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
687,"1,2-Diethoxyethane ",-0.77,-0.833,CCOCCOCC
688,Pentamethylbenzene,-4.0,-3.9930000000000003,Cc1cc(C)c(C)c(C)c1C
689,Benzene ,-1.64,-2.418,c1ccccc1
690,"N,N-Diethylaniline",-3.03,-3.16,CCN(CC)c1ccccc1
691,Fenoxycarb,-4.7,-4.662,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
692,Fructose,0.64,0.47100000000000003,OCC1OC(O)(CO)C(O)C1O
693,"1,1,2-Trichloroethane",-1.48,-1.9609999999999999,ClCC(Cl)Cl
694,"2,2,4-Trimethylpentane",-4.74,-3.2760000000000002,CC(C)CC(C)(C)C
695,9-anthrol,-4.73,-4.148,c3ccc2c(O)c1ccccc1cc2c3 
696,3-Methyl-3-hexanol,-0.98,-1.663,CCCC(C)(O)CC
697,Pyrimidine,1.1,-0.884,c1cncnc1
698,thiouracil,-2.273,-0.992,Sc1nccc(=O)[nH]1 
699,Furane,-0.82,-1.837,c1ccoc1
700,Propetamphos,-3.408,-2.826,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
701,Ethinyl estradiol,-4.3,-4.317,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C 
702,2-Methy-2-Butene,-2.56,-1.994,CC=C(C)C
703,"2-Methyl-1,3-Butadiene ",-2.03,-1.714,CC(=C)C=C
704,Acrylonitrile,0.15,-0.354,C=CC#N
705,m-Xylene ,-2.82,-3.035,Cc1cccc(C)c1
706,5-Ethyl-5-phenylbarbital,-2.322,-2.272,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
707,Benznidazole,-2.81,-2.3209999999999997,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
708,Nerol,-2.46,-2.603,CC(C)=CCC/C(C)=C\CO
709,Dimethoxymethane,0.48,0.092,COCOC
710,RTI 12,-4.114,-3.446,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 
711,"3,4-Dichlorophenol",-1.25,-3.352,Oc1ccc(Cl)c(Cl)c1
712,bupirimate,-4.16,-3.4930000000000003,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C 
713,1-Bromooctane,-5.06,-3.721,CCCCCCCCBr
714,Phenylthiourea,-1.77,-1.7009999999999998,NC(=S)Nc1ccccc1
715,Acephate,0.54,-0.41600000000000004,COP(=O)(NC(C)=O)SC 
716,2-Methylheptane,-5.08,-3.3080000000000003,CCCCCC(C)C
717,Ethoxyzolamide,-3.81,-3.085,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
718,1-Pentyne,-1.64,-1.446,CCCC#C
719,Methocarbamol,-0.985,-1.4280000000000002,COc1ccccc1OCC(O)COC(N)=O
720,Cycloheptene,-3.18,-2.5989999999999998,C1CCC=CCC1
721,dibutylphthalate,-4.4,-4.378,CCCCOC(=O)c1ccccc1C(=O)OCCCC 
722,"2,2',3,4,6-PCB",-7.43,-6.627000000000001,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
723,2-Undecanol,-2.94,-3.096,CCCCCCCCCC(C)O
724,Pentyl propanoate,-2.25,-1.899,CCCCC(=O)OCC
725,hexacosane,-8.334,-9.702,CCCCCCCCCCCCCCCCCCCCCCCCCC
726,Thiamphenicol,-2.154,-1.936,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl 
727,Phenol,0.0,-1.9909999999999999,c1ccccc1O
728,"2,2-Dimethyl-1-butanol",-1.04,-1.365,CCC(C)(C)CO
729,Metranidazole,-1.26,-0.8590000000000001,Cc1ncc(N(=O)=O)n1CCO 
730,"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC
731,Chlorothalonil,-5.64,-3.995,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
732,Equilenin,-5.24,-3.927,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
733,adrenosterone,-3.48,-2.99,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
734,Nitrofen,-5.46,-5.361000000000001,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
735,Benfuracarb,-4.71,-5.132999999999999,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
736,Barban,-4.37,-4.16,ClCC#CCOC(=O)Nc1cccc(Cl)c1
737,triamcinolone acetonide,-4.31,-3.928,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO 
738,"P,P'-DDD",-7.2,-6.007999999999999,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 
739,8-quinolinol,-2.42,-2.725,Oc1cccc2cccnc12 
740,"2,3,4-Trichlorophenol",-2.67,-3.705,Oc1ccc(Cl)c(Cl)c1Cl
741,Di(2-ethylhexyl)-phthalate,-6.96,-7.117000000000001,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
742,Cyclooctyl-5-spirobarbituric acid,-2.9819999999999998,-2.2840000000000003,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2
743,5-Methylchrysene,-6.59,-5.931,c1cccc2c3c(C)cc4ccccc4c3ccc12
744,3-Propanoyloxymethylphenytoin,-4.907,-3.128,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
745,Diosgenin,-7.32,-5.681,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
746,Mefluidide,-3.24,-3.165,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
747,3-Heptanoyloxymethylphenytoin,-6.301,-4.496,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
748,Permethrin,-6.291,-7.129,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2
749,Pyridine,0.76,-1.4809999999999999,c1ccncc1
750,17a-Methyltestosterone,-3.9989999999999997,-4.073,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
751,Apazone,-3.5380000000000003,-2.9,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C 
752,Dibenzofurane,-4.6,-4.2010000000000005,o1c2ccccc2c3ccccc13
753,captafol,-5.4,-4.365,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
754,Butylbenzene,-4.06,-3.585,CCCCc1ccccc1
755,methyl laurate,-4.69,-4.025,CCCCCCCCCCCC(=O)OC
756,Procymidone,-4.8,-3.464,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3
757,m-Chloroiodobenzene,-3.55,-4.3839999999999995,Clc1cccc(I)c1
758,Chlorotoluron,-3.46,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
759,norflurazon,-4.046,-4.029,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl
760,Hexachloroethane,-3.67,-4.215,ClC(Cl)(Cl)C(Cl)(Cl)Cl
761,Methyl hexanoate,-1.87,-1.899,CCCCCC(=O)OC
762,Ethofumesate,-3.42,-3.1839999999999997,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
763,Fenothiocarb,-3.927,-3.2969999999999997,CN(C)C(=O)SCCCCOc1ccccc1
764,Cypermethrin,-8.017000000000001,-6.775,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
765,3-Octanol,-1.98,-2.033,CCCCCC(O)CC
766,m-Methylaniline,-0.85,-1.954,Cc1cccc(N)c1
767,Warfarin,-3.8930000000000002,-3.9130000000000003,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
768,Diazepam,-3.7539999999999996,-4.05,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23
769,"2,3-Dimethylnaphthalene",-4.72,-4.1160000000000005,Cc1cc2ccccc2cc1C
770,Estragole,-2.92,-3.074,c1(OC)ccc(CC=C)cc1
771,Ethylcyclohexane,-4.25,-3.245,CCC1CCCCC1
772,5-Allyl-5-phenylbarbital,-2.369,-2.36,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
773,1-Bromobutane,-2.37,-2.303,CCCCBr
774,Ronnel,-5.72,-5.247000000000001,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
775,"1,5-Hexadiene ",-2.68,-2.112,C=CCCC=C
776,Chlordene,-5.64,-5.152,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl 
777,propachlor,-2.48,-3.0180000000000002,CC(C)N(C(=O)CCl)c1ccccc1 
778,Bromomethane,-0.79,-1.109,CBr
779,N-Methylaniline ,-1.28,-2.097,CNc1ccccc1
780,benzylurea,-0.95,-1.5090000000000001,NC(=O)NCc1ccccc1 
781,Ethyne,0.29,-0.252,C#C
782,Dexamethasone,-3.59,-3.4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
783,o-Nitrotoluene,-2.33,-2.589,Cc1ccccc1N(=O)=O
784,Sulfanilamide,-1.34,-0.9540000000000001,Nc1ccc(cc1)S(N)(=O)=O
785,RTI 7,-3.535,-3.6630000000000003,C2c1ccccc1N(CCF)C(=O)c3ccccc23 
786,2-Hexanone,-0.8,-1.2,CCCCC(=O)C
787,Triethyl phosphate,0.43,-0.953,CCOP(=O)(OCC)OCC
788,Diethyl phthalate ,-2.35,-3.016,CCOC(=O)c1ccccc1C(=O)OCC
789,3-Hexanone,-0.83,-1.266,CCCC(=O)CC
790,6-methoxypteridine,-1.139,-1.589,COc2cnc1ncncc1n2
791,Napthacene,-8.6,-5.568,c1ccc2cc3cc4ccccc4cc3cc2c1
792,"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl
793,Pyridazine,1.1,-0.619,c1ccnnc1
794,Butethal,-1.661,-1.974,CCCCC1(CC)C(=O)NC(=O)NC1=O
795,p-Nitrotoluene,-2.49,-2.64,Cc1ccc(cc1)N(=O)=O
796,Methyl t-butyl ether ,-0.24,-0.9840000000000001,COC(C)(C)C
797,Sucrose,0.79,0.31,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O 
798,Clomazone,-2.338,-3.077,CC1(C)CON(Cc2ccccc2Cl)C1=O
799,Ethyl butyrate,-1.28,-2.254,CCCCCOC(=O)CC
800,Dibenzothiophene,-4.38,-4.5969999999999995,c1ccc2c(c1)sc3ccccc23
801,Ethisterone,-5.66,-3.858,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C 
802,Propoxur,-2.05,-2.4090000000000003,CNC(=O)Oc1ccccc1OC(C)C
803,2-Methyl-1-Butene,-2.73,-1.994,CCC(=C)C
804,Cyclohexane,-3.1,-2.477,C1CCCCC1
805,testosterone propionate,-5.37,-4.87,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
806,3-chloropropionitrile,-0.29,-0.522,ClCCC#N 
807,3-Hexyne,-1.99,-1.933,CCC#CCC
808,Caffeine,-0.8759999999999999,-1.4980000000000002,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
809,Quinoline,-1.3,-2.6630000000000003,c1ccc2ncccc2c1
810,Benzo(k)fluoranthene,-8.49,-6.007000000000001,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
811,Methane,-0.9,-0.636,C
812,3-Hexanol,-0.8,-1.324,CCCC(O)CC
813,Hydrocortisone 21-acetate,-4.88,-3.6919999999999997,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
814,halothane,-1.71,-2.608,FC(F)(F)C(Cl)Br 
815,"2,2',3,3',5,6-PCB",-8.6,-7.185,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
816,"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-4.081,-5.312,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
817,tubercidin,-1.95,-0.892,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
818,"1,2,4,5-Tetrabromobenzene",-6.98,-6.001,Brc1cc(Br)c(Br)cc1Br
819,Methyl pentanoate,-1.36,-1.545,CCCC(=O)OCC
820,Butabarbital,-2.39,-1.9580000000000002,O=C1NC(=O)NC(=O)C1(CC)C(C)CC
821,Dienochlor,-7.278,-7.848,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
822,"2,3,4,5,6-PCB",-7.92,-6.785,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl 
823,"2,3-Dichlorophenol",-1.3,-3.1439999999999997,Oc1cccc(Cl)c1Cl
824,triforine,-4.19,-3.715,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl 
825,Isobutyl formate,-1.01,-1.095,CC(C)COC=O
826,m-Nitrotoluene,-2.44,-2.64,Cc1cccc(c1)N(=O)=O
827,o-Nitroanisole,-1.96,-2.346,COc1ccccc1N(=O)=O
828,Pentylcyclopentane,-6.08,-3.8689999999999998,CCCCCC1CCCC1
829,2-Butanone,0.52,-0.491,CCC(=O)C
830,2-bromonaphthalene,-4.4,-4.434,c1c(Br)ccc2ccccc12 
831,Endrin,-6.18,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
832,Cyclohexanone,-0.6,-0.996,O=C1CCCCC1
833,Dimethyldisulfide,-1.44,-1.524,CSSC
834,"2,3-Dimethylpentane",-4.28,-2.938,CCC(C)C(C)C
835,1-Octanol,-2.39,-2.105,CCCCCCCCO
836,"1,2,4-tribromobenzene",-4.5,-5.144,c1(Br)c(Br)cc(Br)cc1
837,Dibutyl ether ,-1.85,-2.135,CCCCOCCCC
838,Diphenylmethane,-4.08,-4.09,C(c1ccccc1)c2ccccc2
839,o-Chloronitrobenzene,-2.55,-2.775,Clc1ccccc1N(=O)=O
840,Cyclooctane,-4.15,-3.355,C1CCCCCCC1
841,"5,5-Diisopropylbarbital",-2.766,-1.942,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
842,Carboxin,-3.14,-2.927,CC1=C(SCCO1)C(=O)Nc2ccccc2
843,Chloroethylene,-1.75,-1.188,ClC=C
844,stadacaine,-3.84,-5.127999999999999,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
845,Azobenzene,-4.45,-4.034,N(=Nc1ccccc1)c2ccccc2
846,Pentylbenzene,-4.64,-3.8989999999999996,CCCCCc1ccccc1
847,1-Methylcyclohexene ,-3.27,-2.574,CC1=CCCCC1
848,Methoxychlor,-6.89,-5.537999999999999,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
849,Benzotriazole,-0.78,-2.21,c2ccc1[nH]nnc1c2
850,1-Heptyne,-3.01,-2.155,CCCCCC#C
851,"1,4-Benzenediol",-0.17,-1.59,Oc1ccc(O)cc1
852,Prednisolone,-3.18,-2.9739999999999998,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
853,Glycerol,1.12,0.688,OCC(O)CO
854,Ethyl heptanoate,-2.74,-2.608,CCCCCCC(=O)OCC
855,Bensulide,-4.2,-4.99,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
856,Ethyl propionate,-0.66,-1.1909999999999998,CCOC(=O)CC
857,Trimazosin,-3.638,-3.958,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
858,parabanic acid,-0.4,1.091,O=C1NC(=O)C(=O)N1 
859,"P,P'-DDE",-6.9,-6.553,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
860,Tetrahydrofurane ,0.49,-0.62,C1CCOC1
861,phenanthridine,-2.78,-3.713,c1ccc2c(c1)cnc3ccccc23 
862,4-Methylpentanol,-1.14,-1.381,CC(C)CCCO
863,Isoproturon,-3.536,-2.867,CC(C)c1ccc(NC(=O)N(C)C)cc1
864,DDT,-7.15,-6.638,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
865,Abate,-6.237,-6.678,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
866,1-Chloro-2-bromoethane,-1.32,-1.7380000000000002,ClCCBr
867,"cis-1,2-Dimethylcyclohexane",-4.3,-3.305,C/C1CCCCC1\C
868,Chlortoluron,-3.483,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
869,5-fluorouracil,-1.077,-0.792,Fc1c[nH]c(=O)[nH]c1=O 
870,2-Hydroxypyridine,1.02,-1.655,Oc1ccccn1
871,thiopental,-3.36,-2.96,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O 
872,"2,3',4,4'-PCB",-7.8,-6.709,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
873,3-Methyl-2-pentanol,-0.71,-1.308,CCC(C)CCO
874,Isocarboxazid,-2.461,-2.251,Cc1cc(no1)C(=O)NNCc2ccccc2
875,"1,2-Propylene oxide",-0.59,-0.358,CC1CO1
876,mercaptobenzothiazole,-3.18,-3.411,Sc2nc1ccccc1s2 
877,1-Propanol,0.62,-0.33399999999999996,CCCO
878,metharbital,-2.23,-1.6580000000000001,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
879,Chlorthalidone,-3.451,-2.5639999999999996,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
880,Nitrapyrin,-3.76,-3.833,Clc1cccc(n1)C(Cl)(Cl)Cl
881,Raffinose,-0.41,0.496,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O
882,Trietazine,-4.06,-3.233,CCNc1nc(Cl)nc(n1)N(CC)CC
883,"2,4-Dimethyl-3-pentanone",-1.3,-1.7519999999999998,CC(C)C(=O)C(C)C
884,Methazole,-2.82,-3.6010000000000004,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
885,Norethisterone,-4.57,-2.6689999999999996,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C
886,"2,4,5-Trichlorophenol ",-2.21,-3.78,Oc1cc(Cl)c(Cl)cc1Cl
887,6-hydroxyquinoline,-2.16,-2.725,Oc2ccc1ncccc1c2 
888,allicin,-0.83,-2.045,C=CCS(=O)SCC=C
889,phthalamide,-2.932,-0.636,c1cC2C(=O)NC(=O)C2cc1
890,Stirofos,-4.522,-4.32,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
891,RTI 6,-3.36,-3.335,CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 
892,p-Methoxybenzaldehyde,-1.49,-2.252,COc1ccc(C=O)cc1
893,"2,7-dimethylquinoline",-1.94,-3.342,c2c(C)cc1nc(C)ccc1c2 
894,"2,2',6,6'-PCB",-7.39,-5.915,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
895,Bromochloromethane,-0.89,-1.5190000000000001,ClCBr
896,1-Ethylnaphthalene ,-4.17,-4.1,CCc1cccc2ccccc12
897,2-Pentanol,-0.29,-0.97,CCCC(C)O
898,o-Fluorobromobenzene,-2.7,-3.467,Fc1ccccc1Br
899,2-Butoxyethanol,-0.42,-0.775,CCCCOCCO
900,3-Methyl-2-pentanone,-0.67,-1.266,CCC(C)C(=O)C
901,Butamben,-3.082,-3.0389999999999997,CCCCOC(=O)c1ccc(N)cc1
902,kebuzone,-3.27,-2.645,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
903,"1,3-Dibromobenzene",-3.54,-4.298,Brc1cccc(Br)c1
904,karbutilate,-2.93,-2.655,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
905,2-Methyl-3-pentanol,-0.7,-1.308,CCC(O)C(C)C
906,Ethion,-5.54,-5.471,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
907,"1,3,5-Trinitrobenzene",-2.89,-2.324,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
908,1-Hexyne ,-2.36,-1.801,CCCCC#C
909,Thiram,-3.9,-2.444,CN(C)C(=S)SSC(=S)N(C)C 
910,"1,4-Cyclohexadiene",-2.06,-1.8419999999999999,C1C=CCC=C1
911,nicotinamide,0.61,-0.9640000000000001,NC(=O)c1cccnc1 
912,5-hydroxyquinoline,-2.54,-2.725,Oc1cccc2ncccc12 
913,1-Bromohexane,-3.81,-3.012,CCCCCCBr
914,triamcinolone diacetate,-4.13,-3.8760000000000003,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
